ccode,Country,year,leadername,business,econ_finance,rgdpe,lnrgdpe,growth,cpg_sw2014,war,law,militarycareer,nato,business_add_close,econ_finance_close,business_nostate,business_exclude_lowlevel,rgdpo,expenditures_total,expenditures_total_million,expenditures_2014,nondefspend,nondefspend_ch,defspend_usa,defspend_ch_usa,diff_us,polconiii,polityfrompolity,polcon_abvmean,polcon_blwmean,cpg_mf,mids_per_yr,business_econ_finance,econ_finance_nobiz,def.exp,def.delta
2,USA,1972,Nixon,0,0,5389620.5,15.49998569,5.438566208,2,1,1,0,1,0,0,0,0,5334608,1.25937E+12,1259365,1367253.875,927755.875,0.397094905,439498,0.390829325,0,0.397659779,10,0,1,2,3,0,0,493386.5639,-0.143823818
2,USA,1973,Nixon,0,0,5703701,15.55662537,5.827510357,2,1,1,0,1,0,0,0,0,5664941.5,1.24911E+12,1249105,1356114.875,938521.875,1.160434604,417593,-4.984095573,0,0.395586252,10,0,1,2,2,0,0,468877.7457,-4.967467706
2,USA,1974,Nixon,0,0,5598600,15.53802681,-1.842683554,2,0,1,0,1,0,0,0,0,5613541,1.27675E+12,1276752,1386130.375,973811.375,3.760114908,412319,-1.262952209,0,0.395586252,10,0,1,2,1,0,0,462755.1999,-1.305787231
2,USA,1975,Gerald Ford,0,0,5567926.5,15.53253365,-0.547879934,2,0,1,0,1,0,0,0,0,5582413.5,1.30879E+12,1308789,1420912,1032126,5.988287449,388786,-5.707474232,0,0.426229239,10,0,1,2,2,0,0,437341.552,-5.491812508
2,USA,1976,Gerald Ford,0,0,5897896,15.59010601,5.926251411,2,0,1,0,1,0,0,0,0,5903297,1.30977E+12,1309774,1421981.375,1043422.375,1.094476342,378559,-2.630496025,0,0.426229239,10,0,1,2,3,0,0,425444.8383,-2.720234016
2,USA,1977,Carter,0,0,6167635,15.63482571,4.573476315,2.94520545,0,0,0,1,0,0,0,0,6184753,1.33311E+12,1333105,1447311.125,1053094.125,0.926925659,394217,4.136211395,0,0.372254699,10,0,1,2.94520545,3,0,0,441500.9955,3.773969213
2,USA,1978,Carter,0,0,6523868.5,15.69097805,5.775856972,3,0,0,0,1,0,0,0,0,6544451,1.358E+12,1357995,1474333.5,1077925.5,2.357944489,396408,0.555785239,0,0.372254699,10,0,1,3,2,0,0,444293.8999,0.632592988
2,USA,1979,Carter,0,0,6707675,15.71876335,2.817451954,3,0,0,0,1,0,0,0,0,6763056,1.36956E+12,1369556,1486884.875,1088115.875,0.945369124,398769,0.595598459,0,0.385620594,10,0,1,3,7,0,0,446843.8335,0.573929468
2,USA,1980,Carter,0,0,6588726,15.70087051,-1.773327589,3,0,0,0,1,0,0,0,0,6724476,1.39124E+12,1391240,1510426.5,1113401.5,2.323798895,397025,-0.437345922,0,0.385620594,10,0,1,3,4,0,0,445812.659,-0.230768424
2,USA,1981,Ronald Reagan,0,0,6777818.5,15.72916603,2.869939804,2.05479455,0,0,0,1,0,0,0,0,6901233.5,1.41388E+12,1413882,1535008.25,1092558.25,-1.872033596,442450,11.44134521,0,0.406279236,10,0,1,2.05479455,6,0,0,496574.0439,11.38625921
2,USA,1982,Ronald Reagan,0,0,6643039,15.70907974,-1.988536119,2,0,0,0,1,0,0,0,0,6731911,1.44782E+12,1447816,1571849.375,1047775.375,-4.098900318,524074,18.44818687,0,0.406279236,10,0,1,2,4,0,0,587279.9691,18.26634442
2,USA,1983,Ronald Reagan,0,0,6987811.5,15.75967789,5.189979076,2,0,0,0,1,0,0,0,0,7040408,1.49238E+12,1492378,1620229,1112467,6.174188137,507762,-3.112537622,0,0.411505371,10,0,1,2,9,0,0,573501.94,-2.346075097
